 Invensys Top Part Report for 009-00861.pcb on 8/13/2013 10:29:02 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
K1,7480,1550,270,Top,047-00053-02,KA3,Yes,No,RLY 24V 660 OHM T90A
K2,8810,1530,270,Top,047-00053-02,KA3,Yes,No,RLY 24V 660 OHM T90A
K3,11220,1230,270,Top,047-00166-01,KA1,No,No,"RELAY, 1FORM A 24VDC BTP"
K4,10555,1230,270,Top,047-00166-01,KA1,No,No,"RELAY, 1FORM A 24VDC BTP"
L1,1630,2450,270,Top,663-00003-00,LS0805,No,Yes,INDUCTOR BEAD SMD0805 FERRITE 300 OHM 25%
LED1,10210,3330,90,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED2,10865,2625,90,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED3,9795,600,0,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED4,11765,1200,180,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED5,400,2350,90,Top,003-00169-03,DRL100L,Yes,No,LED GREEN ULTRA BRIGHT
LED6,2235,4000,0,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
LED7,1160,4000,0,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
LED8,8310,225,0,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED9,6990,220,180,Top,003-00126-01,DRL100-RED,No,No,LED RED T 1-3/4 30MC/10MA HP
LED10,80,4000,0,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
LED11,2235,440,180,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
LED12,1160,440,180,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
LED13,80,440,180,Top,003-00204-00,DRL100L,No,No,LED ULTRA BRIGHT RED
MOV1,11715,655,90,Top,007-00007-65,YH007-00007,No,No,VAR MO 300V 80J 4500A
N1,5425,3045,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N2,5600,3835,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N3,5685,3730,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N4,5820,3835,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N5,6965,3355,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N6,6040,2900,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N7,7775,2375,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
N8,4860,390,0,Top,FPOINT,FPOINT,No,Yes,FINAL TESTPOINT
P1,4220,2585,90,Top,025-00092-00,P07MR10,Yes,No,"CONN 7P .100"" SPACING RA KYBD"
P1A,3840,2585,90,Top,055-00614-00,PO7-100-710,Yes,No,"HEADER .1"" 1X7 RA"
P2,5440,250,0,Top,055-00016-30,P04HV56,No,No,CONN 4P .156 HDR MOLEX 26-60-4040
P3,10075,230,0,Top,055-00016-78,P09HV56-V8,No,No,CONN 9P .156 MOLEX 26-60-4080 VOIDED 8
P4,6150,250,0,Top,055-00016-30,P04HV56,No,No,CONN 4P .156 HDR MOLEX 26-60-4040
P5,8660,150,90,Top,028-00067-00,P01FVA,No,No,TERM ZIERICK 6021-6
P6,9360,140,90,Top,028-00067-00,P01FVA,No,No,TERM ZIERICK 6021-6
P7,8080,150,90,Top,028-00067-00,P01FVA,No,No,TERM ZIERICK 6021-6
P8,7330,145,90,Top,028-00067-00,P01FVA,No,No,TERM ZIERICK 6021-6
P9,5400,2780,180,Top,025-00104-00,P06MJV,No,No,SCKT 6P .050 RJ W/PLUG
P10,6975,3830,270,Top,055-00102-00,P06(2X3)HV100-V3&4,No,No,CONN 6P(2X3) .100 SPACING VOIDED 3 & 4
P12,5290,4180,0,Top,055-00101-00,P30HV10B,No,No,CONN 30P(2X15) .100  MOLEX 39-28-5301
P13,160,3060,270,Top,055-00096-01,P30HV10C,Yes,No,CONN 30P(2X15) .100 MOLEX 10-89-6300
P14,4045,1910,90,Top,055-00636-00,P10-V10POS100,Yes,No,"HEADER .1"" 2X5 SQ RA"
Q1,6580,3680,270,Top,004-00089-00,QRTO92,No,No,XTR 2N4403 PNP 40V .5A TO-92
Q2,7320,2820,90,Top,004-00089-00,QRTO92,No,No,XTR 2N4403 PNP 40V .5A TO-92
Q3,6040,2250,270,Top,604-00002-00,QS3B,No,Yes,XTR SMD 2N2222A NPN 40V .6A
Q4,10115,1995,270,Top,604-00002-00,QS3B,No,Yes,XTR SMD 2N2222A NPN 40V .6A
Q5,10915,1530,270,Top,604-00002-00,QS3B,No,Yes,XTR SMD 2N2222A NPN 40V .6A
Q6,7785,2055,270,Top,604-00001-00,QS3B,No,Yes,XTR SMD 2N2907A PNP 40V .6A
Q7,7020,2230,270,Top,604-00001-00,QS3B,No,Yes,XTR SMD 2N2907A PNP 40V .6A
Q8,405,3775,270,Top,604-00002-00,QS3B,No,Yes,XTR SMD 2N2222A NPN 40V .6A
Q9,1455,3265,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q10,665,3775,270,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q11,1655,3265,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q12,1555,3120,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q13,1355,3120,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q14,1255,3265,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q15,2455,3170,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q16,2555,3300,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q17,2855,3170,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q18,3060,3170,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q19,2955,3300,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q20,2655,3170,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q21,2755,3300,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
Q22,2325,3300,90,Top,604-00073-00,QS3E,No,Yes,P 50V 100MA W/BIAS RESIST
